hardware,chunks_shape,split_time,merge_time
SSD,"(10, 10, 10)",0.11444401741027832,0.06606769561767578
SSD,"(25, 25, 25)",0.02362990379333496,0.010533571243286133
HDD,"(10, 10, 10)",0.2683725357055664,0.1621856689453125
HDD,"(25, 25, 25)",0.03044581413269043,0.15217971801757812
