hardware,chunks_shape,split_time,merge_time
SSD,"(10, 10, 10)",0.08649897575378418,0.10034012794494629
SSD,"(25, 25, 25)",0.020436525344848633,0.023284435272216797
HDD,"(10, 10, 10)",0.07978653907775879,0.27072906494140625
HDD,"(25, 25, 25)",0.03567099571228027,0.16027545928955078
